ticker    ,date       ,qtd ,dividend
IRDM11.SA ,2021-03-01 ,  5 ,1.23
MXRF11.SA ,2021-04-01 , 25 ,0.08
BCFF11.SA ,2021-04-01 ,  1 ,0.56
HCTR11.SA ,2021-04-01 ,  1 ,2.0
IRDM11.SA ,2021-04-01 ,  2 ,1.28
CVBI11.SA ,2021-05-01 ,  3 ,1.0
HCTR11.SA ,2021-05-01 ,  2 ,2.0
IRDM11.SA ,2021-05-01 ,  2 ,1.155
MXRF11.SA ,2021-05-01 , 25 ,0.08
BCFF11.SA ,2021-05-01 ,  3 ,0.5
BCFF11.SA ,2021-06-01 ,  4 ,0.5
CVBI11.SA ,2021-06-01 ,  4 ,1.0
HCTR11.SA ,2021-06-01 ,  4 ,1.9
HFOF11.SA ,2021-06-01 ,  4 ,0.6
IRDM11.SA ,2021-06-01 ,  4 ,1.1525
MXRF11.SA ,2021-06-01 , 25 ,0.07
TGAR11.SA ,2021-06-01 ,  4 ,1.16
VINO11.SA ,2021-06-01 ,  7 ,0.09
VINO11.SA ,2021-07-01 ,  7 ,0.09
TGAR11.SA ,2021-07-01 ,  4 ,1.11
MXRF11.SA ,2021-07-01 , 41 ,0.07
HFOF11.SA ,2021-07-01 ,  4 ,0.6
CVBI11.SA ,2021-07-01 ,  4 ,1.0
BCFF11.SA ,2021-07-01 ,  4 ,0.45
IRDM11.SA ,2021-07-01 ,  4 ,0.97
HCTR11.SA ,2021-07-01 ,  4 ,1.7
BCFF11.SA ,2021-08-01 ,  4 ,0.47
CVBI11.SA ,2021-08-01 ,  4 ,0.85
HCTR11.SA ,2021-08-01 ,  4 ,1.5
HFOF11.SA ,2021-08-01 ,  4 ,0.6
IRDM11.SA ,2021-08-01 ,  4 ,1.15
MXRF11.SA ,2021-08-01 , 41 ,0.07
TGAR11.SA ,2021-08-01 ,  4 ,1.08
VINO11.SA ,2021-08-01 ,  7 ,0.092
MXRF11.SA ,2021-09-01 , 41 ,0.08
VINO11.SA ,2021-09-01 ,  7 ,0.116
TGAR11.SA ,2021-09-01 ,  4 ,1.1
IRDM11.SA ,2021-09-01 ,  4 ,1.13
HCTR11.SA ,2021-09-01 ,  4 ,1.5
CVBI11.SA ,2021-09-01 ,  4 ,1.0
BCFF11.SA ,2021-09-01 ,  4 ,0.5
HFOF11.SA ,2021-09-01 ,  4 ,0.6
BCFF11.SA ,2021-10-01 ,  4 ,0.5
CVBI11.SA ,2021-10-01 ,  4 ,1.23
HCTR11.SA ,2021-10-01 ,  4 ,1.6
HFOF11.SA ,2021-10-01 ,  4 ,0.6
IRDM11.SA ,2021-10-01 ,  4 ,1.0525
MXRF11.SA ,2021-10-01 , 41 ,0.08
TGAR11.SA ,2021-10-01 ,  4 ,1.11
VINO11.SA ,2021-10-01 ,  7 ,0.13
TGAR11.SA ,2021-11-01 ,  4 ,1.2
MXRF11.SA ,2021-11-01 , 57 ,0.09
VINO11.SA ,2021-11-01 ,  9 ,0.11
HCTR11.SA ,2021-11-01 ,  4 ,1.6
CVBI11.SA ,2021-11-01 ,  5 ,1.12
BCFF11.SA ,2021-11-01 ,  7 ,0.5
IRDM11.SA ,2021-11-01 ,  5 ,1.364
TGAR11.SA ,2021-12-01 ,  4 ,1.22
MXRF11.SA ,2021-12-01 , 57 ,0.0799999999999999
VINO11.SA ,2021-12-01 ,  9 ,0.11
HCTR11.SA ,2021-12-01 ,  4 ,1.6
CVBI11.SA ,2021-12-01 ,  5 ,1.12
BCFF11.SA ,2021-12-01 ,  7 ,0.5
IRDM11.SA ,2021-12-01 ,  5 ,1.126
BCFF11.SA ,2022-01-01 ,  7 ,0.5428571428571428
CVBI11.SA ,2022-01-01 ,  5 ,1.12
HCTR11.SA ,2022-01-01 ,  4 ,1.6
IRDM11.SA ,2022-01-01 ,  5 ,1.424
MXRF11.SA ,2022-01-01 , 57 ,0.09
TGAR11.SA ,2022-01-01 ,  4 ,1.23
VINO11.SA ,2022-01-01 ,  9 ,0.1
VINO11.SA ,2022-02-01 ,  9 ,0.068
MXRF11.SA ,2022-02-01 , 62 ,0.09
TGAR11.SA ,2022-02-01 ,  4 ,1.16
RZTR11.SA ,2022-02-01 ,  5 ,1.25
HCTR11.SA ,2022-02-01 ,  4 ,1.6
CVBI11.SA ,2022-02-01 ,  6 ,1.12
IRDM11.SA ,2022-02-01 ,  5 ,1.084
CVBI11.SA ,2022-03-01 ,  6 ,1.12
HCTR11.SA ,2022-03-01 ,  4 ,1.4
IRDM11.SA ,2022-03-01 ,  5 ,1.22
MXRF11.SA ,2022-03-01 , 62 ,0.09
RZTR11.SA ,2022-03-01 ,  5 ,1.25
TGAR11.SA ,2022-03-01 ,  4 ,1.22
VINO11.SA ,2022-03-01 ,  9 ,0.068
TGAR11.SA ,2022-04-01 ,  4 ,1.27
RZTR11.SA ,2022-04-01 ,  5 ,1.25
VINO11.SA ,2022-04-01 ,  9 ,0.068
IRDM11.SA ,2022-04-01 ,  5 ,1.1800000000000002
HCTR11.SA ,2022-04-01 ,  4 ,1.4
CVBI11.SA ,2022-04-01 ,  6 ,1.12
MXRF11.SA ,2022-04-01 , 62 ,0.1
TGAR11.SA ,2022-05-01 ,  4 ,1.44
RZTR11.SA ,2022-05-01 ,  5 ,1.25
VINO11.SA ,2022-05-01 ,  9 ,0.068
IRDM11.SA ,2022-05-01 ,  5 ,1.26
HCTR11.SA ,2022-05-01 ,  5 ,1.75
CVBI11.SA ,2022-05-01 ,  6 ,1.5
MXRF11.SA ,2022-05-01 , 63 ,0.11
CVBI11.SA ,2022-06-01 ,  6 ,1.5
HCTR11.SA ,2022-06-01 ,  5 ,1.77
IRDM11.SA ,2022-06-01 ,  5 ,1.352
MXRF11.SA ,2022-06-01 , 63 ,0.11
RZTR11.SA ,2022-06-01 ,  5 ,1.25
TGAR11.SA ,2022-06-01 ,  4 ,1.53
VINO11.SA ,2022-06-01 ,  9 ,0.068
TGAR11.SA ,2022-07-01 ,  4 ,1.57
RZTR11.SA ,2022-07-01 ,  5 ,1.25
VINO11.SA ,2022-07-01 ,  9 ,0.068
IRDM11.SA ,2022-07-01 ,  5 ,1.286
HCTR11.SA ,2022-07-01 ,  5 ,1.5
CVBI11.SA ,2022-07-01 ,  6 ,1.3
MXRF11.SA ,2022-07-01 , 63 ,0.0999999999999999
BTLG11.SA ,2022-08-01 ,  7 ,0.74
HCTR11.SA ,2022-08-01 ,  5 ,1.25
IRDM11.SA ,2022-08-01 ,  5 ,1.326
